Movie_Name,Contributors,Budget,Revenue
Premium Rush,"['David Koepp', 'Joseph Gordon-Levitt', 'Michael Shannon', 'Dania Ramirez', 'Jamie Chung', 'Wol Parks', 'Aasif Mandvi']",35,31083599
Katy Perry: Part of Me,[],0,0
Gone,"['Heitor Dhalia', 'Allison Burnett', 'Amanda Seyfried', 'Daniel Sunjata', 'Jennifer Carpenter', 'Sebastian Stan', 'Wes Bentley']",0,18100189
Pusher,"['Luis Prieto', 'Richard Coyle', 'Agyness Deyn', 'Mem Ferda', 'Zlatko Buric']",0,186506
Raaz 3D,"['Vikram Bhatt', 'Shagufta Rafique', 'Emraan Hashmi', 'Bipasha Basu', 'Esha Gupta']",4.1),16)(worldwide)
Rise of the Guardians,"['Peter Ramsey', 'Chris Pine', 'Alec Baldwin', 'Hugh Jackman', 'Isla Fisher', 'Jude Law']",145,306.9
Shut Up and Play the Hits,"['LCD Soundsystem', 'Chuck Klosterman']",0,0
Tabu,"['Miguel Gomes', 'Mariana Ricardo', 'Teresa Madruga']",0,0
"Farewell, My Queen","['Benot Jacquot', 'Diane Kruger', 'La Seydoux', 'Virginie Ledoyen']",7500000,8829912
100 Bloody Acres,"['Damon Herriman', 'Angus Sampson', 'Anna McGahan']",0,6388 (US)
Diary of a Wimpy Kid: Dog Days,"['David Bowers', 'Zachary Gordon', 'Devon Bostick', 'Steve Zahn', 'Peyton List', 'Robert Capron']",22,77112176
Frankenweenie,"['Tim Burton', ""Catherine O'Hara"", 'Martin Short', 'Martin Landau', 'Charlie Tahan', 'Atticus Shaffer', 'Winona Ryder']",39,81.5
Celeste and Jesse Forever,"['Lee Toland Krieger', 'Rashida Jones', 'Will McCormack', 'Rashida Jones', 'Andy Samberg', 'Ari Graynor', 'Eric Christian Olsen', 'Elijah Wood', 'Emma Roberts']",840000,3094813
John Dies at the End,"['Don Coscarelli', 'Chase Williamson', 'Rob Mayes', 'Paul Giamatti', 'Clancy Brown', 'Glynn Turman', 'Doug Jones', 'Daniel Roebuck']",1,141951
Exit Strategy,[],0,0
Marley,[],0,0
