year,Movie_Name,Budget,Contributors,Revenue
2002,Super Troopers,1260000,"Jay Ch,rasekhar, Broken Lizard, Jay Ch,rasekhar, Kevin Heffernan, Steve Lemme, Paul Soter, Erik Stolhanske, Brian Cox, Marisa Coughlan",23182223
2002,Catch Me If You Can,52000000.0,"Steven Spielberg, Leonardo DiCaprio, Tom Hanks, Christopher Walken, Martin Sheen, Nathalie Baye",352114312
2002,xXx,70000000.0,"Rob Cohen, Rich Wilkes, Vin Diesel, Asia Argento, Marton Csokas",277448382
2002,The Four Feathers,35000000.0,"Shekhar Kapur, Heath Ledger, Wes Bentley, Djimon Hounsou, Kate Hudson",29882645
2002,The Hot Chick,34000000.0,"Tom Brady, Rob Schneider, Anna Faris, Rachel McAdams, Matthew Lawrence, Eric Christian Olsen, Robert Davi, Leila Kenzle, Melora Hardin, ""Michael OKeefe""",54639553
2002,The Bourne Identity,60000000.0,"Doug Liman, Matt Damon, Franka Potente, Chris Cooper, Clive Owen, Brian Cox, Adewale Akinnuoye-Agbaje",214034224
2002,Empire,4000000.0,"Franc. Reyes, John Leguizamo, Peter Sarsgaard, Denise Richards, Sonia Braga, Isabella Rossellini, Fat Joe, Treach",18591272
2003,Charlie's Angels: Full Throttle,120000000.0,"McG, Cameron Diaz, Drew Barrymore, Lucy Liu, Bernie Mac, Crispin Glover, Justin Theroux, Robert Patrick, Demi Moore",259175788
2003,Cradle 2 the Grave,25000000.0,"Andrzej Bartkowiak, Channing Gibson, Jet Li, DMX, Anthony Anderson, Kelly Hu, Tom Arnold, Mark Dacascos, Gabrielle Union",56489558
2003,Bulletproof Monk,52000000.0,"Paul Hunter, Chow Yun-fat, Seann William Scott, Jaime King",37713879
2003,Under the Tuscan Sun,18000000.0,"Audrey Wells, Diane Lane, S,ra Oh, Lindsay Duncan",58878723
2003,Final Destination 2,26000000.0,"David R. Ellis, Ali Larter, A. J. Cook, Michael L,es",90426405
2003,Hulk,137000000.0,"Ang Lee, Eric Bana, Jennifer Connelly, Sam Elliott, Josh Lucas, Nick Nolte",245360480
2003,Dark Blue,15000000.0,"Ron Shelton, David Ayer, James Ellroy, Kurt Russell, Scott Speedman, Michael Michele, Brendan Gleeson, Ving Rhames, Master P, Dash Mihok, Kurupt, Kh,i Alex,er, Kaila Yu",12150301
2003,Love Actually,45000000.0,"Richard Curtis, Hugh Grant, Liam Neeson, Colin Firth, Laura Linney, Emma Thompson, Alan Rickman, Keira Knightley, Martine McCutcheon, Bill Nighy, Rowan Atkinson",246942017
2003,Paycheck,60000000.0,"John Woo, Ben Affleck, Aaron Eckhart, Uma Thurman",96269812
2003,"Legally Blonde 2: Red, White & Blonde",45000000.0,"Charles Herman-Wurmfeld, Reese Witherspoon, Sally Field, Regina King, Jennifer Coolidge, Bruce McGill, Dana Ivey, Mary Lynn Rajskub, Bob Newhart, Luke Wilson",124914842
2003,Cold Mountain,79000000.0,"Anthony Minghella, Jude Law, Nicole Kidman, Rene Zellweger",173013509
2003,Bad Boys II,130000000.0,"Michael Bay, Martin Lawrence, Will Smith, Jordi Moll, Gabrielle Union, Peter Stormare, Theresa R,le, Joe Pantoliano",273339556
2003,Darkness Falls,11000000.0,"Jonathan Liebesman, Chaney Kley, Emma Caulfield, Lee Cormie",47488536
2003,Honey,18000000.0,"Bille Woodruff, Jessica Alba, Mekhi Phifer, Joy Bryant, ""Lil Romeo""",62228395
2003,28 Days Later,8000000.0,"Danny Boyle, Alex Garl,, Cillian Murphy, Naomie Harris, Christopher Eccleston, Megan Burns, Brendan Gleeson",82719885
2003,Open Range,22000000,"Kevin Costner, Lauran Paine, Robert Duvall, Annette Bening",68296293
2003,Scary Movie 3,48000000.0,"David Zucker, Craig Mazin, Pat Proft, Anna Faris, Anthony Anderson, Leslie Nielsen, Charlie Sheen, Simon Rex, Regina Hall, Kevin Hart, Camryn Manheim, George Carlin, Pamela Anderson, Jenny McCarthy, Drew Mikuska, Denise Richards",220673217
2003,Master and Commander: The Far Side of the World,150000000.0,"Peter Weir, Russell Crowe, Paul Bettany, Billy Boyd, ""James DArcy"", Edward Woodall",212011111
2003,Duplex,40000000.0,"Danny DeVito, Larry Doyle",19322135
2003,The Missing,60000000.0,"Ron Howard, Tommy Lee Jones, Cate Blanchett, Evan Rachel Wood, Jenna Boyd, Aaron Eckhart, Val Kilmer",38364277
2003,Basic,50000000.0,"John McTiernan, James V,erbilt, John Travolta, Samuel L. Jackson, Connie Nielsen, Tim Daly, Giovanni Ribisi, Roselyn Sanchez, Taye Diggs, Harry Connick Jr., Brian Van Holt, Cristian de la Fuente, Dash Mihok",42792561
2003,Willard,20000000.0,"Glen Morgan, Stephen Gilbert, Glen Morgan, Crispin Glover, R. Lee Ermey, Laura Elena Harring, Jackie Burroughs",8546666
2003,The League of Extraordinary Gentlemen,78000000.0,"Stephen Norrington, Naseeruddin Shah, Peta Wilson, Tony Curran, Stuart Townsend, Shane West, Jason Flemyng, Richard Roxburgh",179265204
2003,Gigli,75600000.0,"Martin Brest, Ben Affleck, Jennifer Lopez, Justin Bartha",7266209
2003,Mona Lisa Smile,65000000.0,"Mike Newell, Lawrence Konner, Mark Rosenthal, Julia Roberts, Kirsten Dunst, Julia Stiles, Maggie Gyllenhaal, Ginnifer Goodwin, Dominic West, Juliet Stevenson, Marcia Gay Harden, John Slattery, Marian Seldes",141337989
2003,Alex & Emma,30000000,"Rob Reiner, Jeremy Leven, Kate Hudson, Luke Wilson",15368897
2003,The Haunted Mansion,90000000.0,"Rob Minkoff, Eddie Murphy, Terence Stamp, Nathaniel Parker, Marsha Thomason, Jennifer Tilly",182436254
2003,Marci X,20000000.0,"Richard Benjamin, Paul Rudnick, Lisa Kudrow, Damon Wayans",1648818
2003,Freddy vs. Jason,30000000.0,"Ronny Yu, Monica Keena, Kelly Rowl,, Jason Ritter, Chris George Marquette, Lochlyn Munro, Ken Kirzinger, Robert Englund",114908830
2003,Tears of the Sun,75000000.0,"Antoine Fuqua, Bruce Willis, Monica Bellucci, Cole Hauser, Peter Mensah",86468162
2003,Looney Tunes: Back in Action,80000000.0,"Joe Dante, Larry Doyle, Brendan Fraser, Jenna Elfman, Steve Martin, Timothy Dalton, Joan Cusack, Heather Locklear, Joe Alaskey",68514844
2003,Boat Trip,20000000.0,"Mort Nathan, Cuba Gooding Jr., Horatio Sanz, Roselyn Sanchez, Vivica A. Fox, Maurice Godin",15020293
2003,The In-Laws,40000000.0,"Andrew Fleming, Andrew Bergman, Nat Mauldin, Ed Solomon, Michael Douglas, Albert Brooks, Ryan Reynolds, C,ice Bergen, Maria Ricossa, Lindsay Sloane, Robin Tunney",26891849
2003,The Life of David Gale,38000000.0,"Alan Parker, Kevin Spacey, Kate Winslet, Laura Linney",38955598
2003,The Hunted,55000000.0,"William Friedkin, Tommy Lee Jones, Benicio del Toro, Connie Nielsen",45496534
2003,How to Lose a Guy in 10 Days,50000000.0,"Donald Petrie, Kristen Buckley, Brian Regan, Kate Hudson, Matthew McConaughey, Adam Goldberg, Bebe Neuwirth",177371441
2003,The Matrix Revolutions,150000000.0,"The Wachowskis, Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, Jada Pinkett Smith",427343298
2003,The Last Samurai,140000000.0,"Edward Zwick, Tom Cruise, Ken Watanabe",456758981
2003,A Guy Thing,20000000.0,"Chris Koch, Jason Lee, Julia Stiles, Selma Blair",17432163
2003,Something's Gotta Give,60000000.0,"Nancy Meyers, Jack Nicholson, Diane Keaton, Keanu Reeves, Frances McDorm,, Am,a Peet, Jon Favreau",266728738
2003,Grind,6000000,"Ralph Sall, Mike Vogel, Adam Brody, Vince Vieluf, Joey Kern, Jennifer Morrison, Bam Margera",5141166
2003,Bringing Down the House,33000000.0,"Adam Shankman, Jason Filardi, Steve Martin, Queen Latifah, Eugene Levy, Joan Plowright, Jean Smart, Missi Pyle, Betty White",164729679
2003,Johnny English,40000000.0,"Peter Howitt, Neal Purvis,Robert Wade, William Davies, Rowan Atkinson, Ben Miller, John Malkovich, Natalie Imbruglia",160583018
2003,The Matrix Reloaded,150000000.0,"The Wachowski Brothers, Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, Jada Pinkett Smith, Gloria Foster",742128461
2003,Uptown Girls,20000000.0,"Boaz Yakin, Brittany Murphy, Dakota Fanning, Marley Shelton, Donald Faison, Heather Locklear",44617342
